0,1,2
电力,不变,0
电量,不变,0
发电,上升,4
用户,下降,1
电网,下降,1
市场,下降,1
电价,上升,8
改革,上升,4
申报,上升,57
中心,下降,1
市场主体,上升,29
合同,上升,76
输配电,下降,5
业务,下降,1
跨省,上升,86
晶见,上升,27
电厂,上升,84
开展,上升,6
注册,下降,8
联盟,下降,10
用电,上升,16
配电网,上升,6
结算,上升,24
月度,上升,77
竞价,上升,7
市场化,下降,1
公示,下降,9
价格,下降,6
广东,上升,34
参与,上升,5
年月日,上升,3
跨区,上升,69
电力直接交易,下降,10
千瓦时,上升,11
国家,上升,32
电改,上升,17
相关,上升,7
用电量,上升,57
增量,上升,16
公司,上升,8
成交,上升,46
试点,上升,8
工作,下降,12
供电,上升,27
调度,上升,56
iOS,下降,40
通知,上升,9
消纳,上升,53
信息,下降,8
配电,上升,35
规定,下降,31
管理,下降,6
双边,上升,48
有限公司,上升,47
转让,上升,46
发布,上升,45
交易中心,上升,44
直接,上升,33
进行,上升,3
辅助,上升,13
计划,上升,40
优先,上升,39
观察,下降,49
合同电量,上升,37
情况,下降,27
体制改革,上升,24
交易平台,上升,34
组织,上升,26
可再生能源,上升,32
富余,上升,7
北京,下降,12
交易规则,上升,8
机组,上升,28
万千瓦,上升,27
偏差,上升,26
集中,上升,25
要求,下降,16
购电,上升,23
准入,下降,40
发改委,上升,21
规则,下降,27
云南,上升,19
执行,上升,18
程序,下降,65
机制,下降,11
电能,上升,15
机构,上升,14
政府,上升,13
电费,上升,12
运行,下降,32
客户,下降,22
监管,上升,9
挂牌,上升,8
关闭,下降,78
推进,上升,6
政策,下降,45
火电,下降,14
主体,上升,3
安全,不变,0
运营,下降,16
